,Date,Review,Rating
10,5/28/2019,"I finally made it to The Magic Castle. It is about time. I  have been hearing about it for years, but I didn't have any connection to get in. Now I am happy to say I have been here few times to this exclusive  and private club. I can honestly say that this place did not disappoint me. This place has a Magic university, Houdini room and a gift shop. Next door to the castle, there is a hotel, which you can stay at. I heard you can get free entry to the Magic CastleMagic Castle used to be called The Rollin B. Lane Mansion, which it was built in 1909. The Lane Mansion became the Magic Castle in 1963 after being taken over by The Larsen Family. The Lane family used to have a frequent guest, Irma, who is a pianist. She did not get along with Ms. Lane. After she died, she vowed to haunt this house. The piano was found in the attic in 1963, where it was moved to the music room along with her pet bird. Irma is still an intricate part of the castle experience, she appreciate her guests and will take request from guests on what music to playTo start, you can only make reservation if you have an invite from a member of the Academy of Magical Arts. This place is one of the world's most renown magical organization dedicated to the craft of magicHours of Operation: Monday to Friday 8:00am-10pmSaturday 9:00am-10pmSunday  9:00am-8pmWeekend Bruch from 10:00am-3pmEvenings 5:00pm-2:00amEntrance Fee$25 Monday to Thursday$35 Friday to Sunday$25 for Brunch Entry$20 for under 11 years oldParking$15 valet is the only optionThere is a strict dress code you must follow. They will deny you entry if you don't meet the dress code requirement. You must be 21 years old to be admitted to dinner. All other ages are able to come during brunch. For dinner, you must order one entrée per person and there is an automatic 18% for party of 6Once you get up to the castle, you have a place to take photo outside. Once you get inside, you can only take picture in the library. You will say abracadabra  or open sesame and somehow an owl will start to blink and the bookcase will open. You will walk into the actually castle. You will no longer be allowed to take any photos.You may ask for a tour if it is available. If not, you can just walk around until your reservation time. Brunch is a buffet style and very casual. For dinner, you can order from a menu. It is very fine dinning and the food is divine. I love that everyone is dressed up and very proper in this castle. When your check comes, they will provide you with a ticket to go see a magic show. I have seen magicians (Dale Salwak and Yuji Yamamoto & Mariko) at The Palace Mystery Theatre. They were really entertaining.  It is definitely worth the entrance fee. I was very impressed by all the talented magicians. Once the main show is over, you can walk around to see other small magic shows throughout the castle.Overall, it was an amazing and one of a kind  experience. I highly recommend you come, if you have the hook up. They do provide birthday celebration and give a button with your name on it for special ocassion. It is definitely a spectacular and magical experience that you can't get anywhere else. Interesting facts, Carey Grant was on the board member. He was the one who did not want any pictures taken inside the castle. He wanted celebrities to have their privacy. To this day, the Magic castle still honor and respect his wishes. Also, Johnny Depp was also on the board and  he is a foodie. He transformed to the current fine dining menu. As for myself, I am just so grateful to my friend for hooking me up so many times.",4 star rating
11,7/19/2019,"It's magical at the Magic Castle! Secret doors from bookshelves, multiple rooms ranging in old school decor, interesting architecture, several bars, a surprisingly tasty restaurant, and some of the most impressive magic I've ever been blessed to witness. Its $25 each at the door. Don't expect cheesy saw-cutting acts or magical acts that have been done over and over again. It was nothing like that. Not. At. All. At least for the magicians who were performing on my night...I was very much impressed! From the close-up magic to the larger full stage room, to the library bar, and the Parlour of Prestidigitation, most of the acts were things I've never seen and completely blew my mind! It was def one the most entertaining nights I've had since ever and it didn't really matter that it was not a cheap experience. But for the cons: The drinks are stupid expensive for super small glasses that have little liquor. I didn't even get buzzed off one $15 cocktail and it was on an empty stomach. The food in the restaurant is delicious, but damn...pretty pricey. Seriously $15 for some cheese bread? It's basically like a personal sized cheese pizza cut into pieces and throw into a bread basket. Overpriced. The lamb was good, perfectly seasoned, and cooked to a beautiful medium. The tomahawk steak was nicely tender, but wasn't seasoned enough and damnnn that price is up there. Way up there. The donuts were fresh and sweet, but a little too doughy. I prefer it to be a lighter, less dense dough. Overall, the experience was truly magical. You really have to experience it and be open to having fun and have your mind blown! Stop trying to figure out how they did that. Just take it as it is...it's magic!",4 star rating
12,1/19/2021,"Think Harry Potters Hogwarts with martinis and black cards. There is no other place like it anywhere... phenomenal magicians, great martinis truly a magical place and must see. So find a friend of friend who's a member get way decked out in your finest and just say the magic words to enter.",5 star rating
13,1/17/2020,"I know a lot of adults still go crazy for Disneyland, but for me it will always be The Magic Castle. This was my fifth visit--I've been for brunch and Valentine's events, but this time we were celebrating my friend's birthday. I don't know how it's possible, but this place only gets better. The bartenders are always fast and friendly, and the magicians are, well, straight up magical! The Close-Up Gallery always has the best shows, and it didn't disappoint on this visit. I was there with a member who frequents the castle regularly, and our birthday girl had been about ten times. We all agreed that magician, Jeff Kaylor, was the best we'd ever seen! (We actually exited the theater shouting at everyone in the bar to get their butts in there before the line got cut!) As always, I can't wait to go back!",5 star rating
14,1/6/2020,"This place is amazing!  Not only is the magic so much fun and entertaining, the food is really good too.  I love the prime rib and the special tomahawk steak for 2.  I feel like this place is an amusement park for adults!!  Once you enter the magic doors, it is truly magical!  I love to just let my imagination free and enjoy all the shows by the talented magicians.  Dress code is strictly enforced and no photos allowed within the vicinity.",5 star rating
15,1/24/2020,"We made reservations a month in advance and got a slot for Wednesday evening. They have a really Strict dress code - I Highly Recommend checking out their dress code online beforehand because they will deny entry if you're not in the proper attire. Everyone was dressed to the nines (Fancy dresses, Tuxes) If you're saving a fancy outfit for a night out- this is it! This is your time to shine! Entrance fee was $25 and you're required to have dinner. I think they charge a $70 entrance fee if you forego dinner. Each guest is required to get an entree, and we got the Bouillabaisse and Beef Wellington. They're famous for their Beef Wellington's and I was really excited to try it, but unfortunately it wasn't worth the hype. The steak tasted slightly dry and the pate/puff was mushy and cold.. it honestly tasted like an overpriced soggy pasty. The Bouillabaisse was pretty good though. The broth was rich and savory and it was filled with shrimp, clams, swordfish and octopus.  The BEST PART ~ The shows! If you have the 6pm reservation, you'll watch the main show at 8. If you come early enough, you'll have time to catch a small show at the Parlour after dinner. We saw Brendan Dooley and his show was brilliant. I'd honestly say that his show was as good as the main one! The main show had three different magicians: Arthur Trace, Kerry Pollock, and Zoppi & Rolanda. Their styles of ""magic"" are very different.. so grab a drink and watch all of the magic unfold in front of you for the next hour:) Setting: This place was originally built in 1909  but I think they remodeled the place throughout the years. The Victorian Gothic decor makes the castle captivating and magical.   I also love how versatile this setting is- it's such a great place to take a date, friends, family or even hosting a client. I noticed that a lot of company dinners take place here and I get it.. it's such a great place to unwind after work!",4 star rating
16,12/11/2019,"I really loved this place at magic castle, when they served us a free buffet on the Saturday. Also, I enjoyed watching the magic show with the magician on any showtimes from every different room. However, we're not allowed to take photos and video recording inside the magic show. Only the entrance of the magic castle. It's my very first time that I visit with my family as well. Hopefully, I'll recommend to anyone once in",5 star rating
17,5/7/2019,"When you say ""open sesame"" you know you are in for an unforgettable experience at the Magic Castle. The Magic Castle (""MC"") is one of the few places in L.A. that is exclusive to members and members' guests. I had the privilege to visit MC for a couple times in the past few years and not once I left the Castle without great memories. MC has strict dress code, so definitely check out their website for dress code before visiting. My philosophy is that you can never be overdressed, so if you want to wear your prom dress or fancy tux, please feel free to do so because you will look perfect for MC. Everyone inside of the Castle is dressed up, so you won't feel like you are too dressed up for this unforgettable night! If you got a pass from a member, make sure to call for dinner reservation 3 months ahead of time because it is very unlikely you will get a dinner reservation for the following week (unless some parties cancel theirs). The dinner menu was changed from 2017 to 2018, and they added more appetizers to the menu. I enjoyed fried oysters as an appetizer because the fried oysters were unique and not a lot of restaurants offer that. In terms of the main course, I really liked their rack of lamb, the lamb tasted really juicy and tender. The lamb is from New Zealand, so one thing about New Zealand lamb is that it is all grass-fed, so the meat actually does not taste gamey. My second choice would be the sea bass, it is cooked to the perfect tenderness, and will be a safe dish to order if you are not sure what to order (and also not a big fan of lamb).Personally speaking, I am not a fan of their ribeye for the price of $50 dollars. You can certainly get better ribeye from other upscaled steakhouses in L.A. Also, when you book your dinner reservation, try to book an earlier one so you can secure your tickets to the big performance. Those tickets will run out by 8 or 9 pm even if you have a dinner reservation at that time. If you are here for your birthday, make sure you ask for a birthday pin in the front desk at the lobby. They will write your name on the pin and you can keep it as a souvenir. As far as all their holiday events, I especially enjoyed coming to MC for NYE, they have some nice decors and offers all guests a free champagne toast by the end of the night. NYE party always have a theme, and for 2017, it was the Roaring 20's and in 2018, it was casino royale. You also get a souvenir for NYE in the lobby.Also another remarkable event at MC is the Halloween party, it is also the ONLY time you can wear whatever you want to the Castle since they won't be enforcing the strict dress code in the spirit of Halloween. I saw some people wearing zipper leather jacket, vans, and jeans. So if you get to pick when you visit the Castle, make sure try to come during Halloween or NYE for their special themed parties. I saved the best part for my last paragraph (sorry about the length of my review) - the MAGIC SHOWS! Since I have been to MC a lot of times in the past, I have to say Mike the bartender is a great magician at MC. You can check him out in between shows (close ups and the big performance). Beside Mike, I like all the close ups. Since the performers change every week, so it would be hard for me to mention some names as suggestions. But you can check out the performers on MC website so you can figure out which show to see and plan your night based on the show times. Also, there is always a chance you will get picked by the magician to go up to the stage to participate. So get ready to be picked by the magician during close up performances. In sum, Magic Castle is truly a great place to forget about the reality and enjoy an unforgettable night in the realm of magic. Just remember believe your eyes even if you thought you blinked when the magic happened!",5 star rating
18,11/27/2020,"I'm just bumping my older review!Go ahead and pay to be a ""member"". This place has gone from amazing to sucky-@ss many years ago!  THEY SOLD OUT.  So, go ahead, and buy a ""membership,"" but just know that you are not getting the ""real"" experience as it used to be when I used to be a member and all the old-school magicians used to hangout here.   Now it sucks.  Just snobby and you have no idea how many amazing things are gone... good luck!   (The goodness disappeared like ""magic""! LOL).",1 star rating
19,12/11/2019,"I had the privilege to come to the Magic Castle because I was invited through a friend. We were scheduled to be there at 530 and we got inside at about 6pm. There was tons of traffic getting there and going up the hill sucked. I felt like if my car was going to go back down and hit the car behind me. There was no entrance fee and no parking fee for us except we did tip the valet people. I loved it here! We had an open bar and enjoyed the shows. My only complaint was the food. My steak was extremely rare. I like my steak well done and I received it rare and cold. The bread was also cold. Other than the food, I had a great time. I would recommend this place to anyone.",4 star rating
20,5/12/2020,"YES. Oohh yes yes yes! I've gotta say, my experience at The Magic Castle was absolutely amazing and words cannot describe how much fun I had the past 2 times I was able to attend a be a guest. My boyfriend works in the bartender industry and luckily came across some magicians at his work on several occasions. He had surprised me the first time for my birthday celebration last year in 2019 in July & I was so excited to go! I've always known that this place was a mysterious, top secret, and luxurious place that only magicians and their guests could enjoy on operating nights. I have to admit, I felt like a princess coming here. Growing up I've been the biggest fan of magic, and to have this opportunity was one for the books in my history of birthdays! I was so in awe during my first visit here because there's always some sort of magical component of the castle that leaves me speechless. Every patron who enters this castle is dressed up as if they were attending a Hollywood red carpet affair (or rather, suit and tie apparel, ladies in formal wear). Honestly, it felt really good to get all dolled up just to join a bunch of other people, and we all had one goal.. to have a great time. There were several bars throughout the castle, one right after the entrance and others scattered around. For those of you who need a drink immediately, here's your chance!~We were given pamphlet with a list of various magicians and showtimes, which could be easily navigated based on how you prefer to spread your time and experience through the night. The pamphlet also included a big show in the late evening (only if you choose to dine in at the castle) and other options of close magic time slots upon check in if you were curious. The magicians who learn their tricks in this magicians academy are beyond talented and I cannot praise how great they are; I have to say, my first visit in July 2019 was actually during the Junior star magicians week, so I had the change to see the young ones perform. The 2nd trip to the magic castle opened up another door of magic as I gazed in shock over the talented young and older magicians. SUPER DUPER AMAZZZINNG.Pros: Awesome experience, hands down. You have to actually be immersed into vibe to fully understand how I felt the moment I went in. It's definitely left me without words because my past 2 experiences here have let me wanting to come back again for another good time and memories with my friends! The castle offers valet parking which is charged with your guest entry fees, excellent service and food (I've always opted for the Tomahawk steak, which is ginormous and good for 2 ppl, but you are required to have an entree/person). *Refer to my steak pic, yumm.. Not to worry, lots of leftovers for the next day! Pro tip: get there as early as you can so you have more time to enjoy the magic shows, have time to eat, and spend time with your company/ party! I've found it so exhilarating to come at the start opening and be there til the castle closes. Well worth your time and memories!Cons: Be prepared to have a dent in your wallet if you plan to take a special someone or a big party here; Entry fee, nonstop drinks, dinner, and valet charges can add up!  Honestly, I'd say it's all worth your experience here if you've never been, and I always look forward to the next time I will get to see the inside of this castle again!",5 star rating
21,2/22/2020,"This place was very interesting and fun. You don't just see one magic show, you'll see mini Magic Shows . After catching the main show make sure you see all the smaller shows. We seen Ice McDonald wow was this an awesome and outstanding show. It even takes you back to childhood and your first magic show.There are many card tricks all around and an old museums to look at. The food is great, but don't forget to have a few drinks with your few laughs. Now you know Magic always looks better when you've had a few drinks. Over all this was definitely a five star and a wonderful place A honeymoon, first date, or just to get out the house.PS oh but I forgot to mention you have to be invited.",5 star rating
22,12/20/2019,"Came here for a company party. Apparently we were able to bypass the invite only by reserving over a party of 20+ people, so bring lots of cash money if you don't have an invite to get in.The dress code is on their website and rather strict and fancy, although I did see the front staff offer a guy some dress shoes since his were not up to par. Maybe they have extras in the back?The inside was very late 1800s/early 1900s Sherlock Holmes/dark library aesthetic so super fun but no photography allowed. They had a variety of drinks but all made very strongly. So if you're not a heavyweight like me, they have tea and coffee available. I actually ordered the tea and you get your own little teapot and a selection of tea bags to choose from. Mostly Twinings.Lots of cool places to explore and look at as the inside is very detailed. Even the bathrooms were very nice and matched the theme as well. And a magical piano!We had a nice sit down dinner with warm bread, soup and salad, salmon, prime rib, and mushroom ravioli. Dessert was a choice between strawberry rhubarb pie (shaped in a circle tart) or coconut cream pie. Both pies were pretty tasty. The food was decent although the ravioli was a bit too al dente. Would recommend the prime rib but they cook it quite rare so make sure you let the servers know your preferences beforehand.We then went to watch a show in one of their theaters which was quite intimate and fit about 60 or so people. But every seat had a great view of the stage. We saw lots of sleight of hand acts, a disappearing fire act, and acrobatics. Really entertaining a d the hour flew by. There are also a variety of smaller acts that you can go see as well.Overall, great staff and experience. They even have a gift shop and academy you can go to become a magician!",4 star rating
23,1/20/2019,"I know just a handful of people who got to go to the Magic Castle. It's a legendary place in LA that you read about it.We got an invitation to the Castle in the summer, befriending a lady magician at a picnic at the Hollywood Bowl.So, I started to look into it, see what we want to do since the invitation does have an expiration date. My in laws booked tickets for a X-mas vacation here, they always wanted to go to the Magic Castle, so I booked a reservation for late December, 6 months in advance or so...I did my research, and thanks to my Yelp Friends (Jenni M, Tora M, Isobel L, thanks guys!!!!) I had a strategy going into this evening. I did book my dinner at 6 pm to have an early start at 5 pm, right as they open. And we started to shop for clothes since they have a strict dress code, my husband had to buy a tie (doesn't like ties, didn't wear one at our wedding, fine by me), and I got my dress since it was gonna be a winter night in LA! Ladies, bring a shawl, it's on the cooler side inside!We did arrive at 5 pm, keep going on Franklin till you see signs for parking and entrance. Did the valet ($15) - you pay inside alongside the entrance fee (A steep $35 since it was a weekend evening!). My husband still got scolded to button his shirt more and tighten his tie (he wasn't a fan), I think it's a bit much especially if you're an artist, and this place is dedicated to the arts and magic!The Castle is beautiful decorated for X-mas, the Victorian mansion was turned into the Magic Castle in the early '70-s.Take photos outside and in the main lobby! You won't be allowed afterwords. You'll be given a code to say to The Owl and then, the doors are opened. Once inside, they were seating for the Close-Up Gallery, we were invited in, so of course we wanted to see a show, my husband got pulled in as a magician's assistant (no I don't have photos), it's an intimate theater and the show was fun, interactive.After the show, we went to dinner. Everyone here is a showman, the waiter, his aide, they're all set to entertain you!The food was better than I thought, especially since their menu is based on a lot of old-fashioned dishes (Beef Wellington, anyone?). We started with garlic bread (very good) and brussel sprouts (with pancetta) as appetizers to go along with the wine (got the Armida Red Zinfandel, pretty good). The dishes were nice.I got the Voodoo Chicken (so did my husband), it is a more modern, interesting dish. The chicken was well cooked, the potatoes and onions were light. I'd recommend it. The sea bass was a hit as well in our party.We got the Strawberry Tres Leches for dessert, light, moist, delicious.Prices are high for dinner, an entree is around $40, so save up!But the dinner entree gets you a ticket to the main show at 8 pm at the Palace of Mystery. Line up early, the place isn't that big.It is a lot of lining up and waiting to get inside shows.Honestly, I wasn't impressed with the main show, it had funny parts to it, but I wanted to see more magic, more interesting numbers. I've seen better than tables floating up in the air and magic card tricks!Once we came out of this show, it was crazy crowded inside the mansion, people at the bar, drunk, lines for the next shows that we tried to get in with no luck= full. I felt like with all the invites and membership, they let too many people inside, beyond capacity! It was hard to move, got to the restroom, find another way to go to another show. It was impossible for a way to move through the crowds. I get that they make a lot of money pushing drinks on you, continuously and the bars are full. It was hard to see smaller acts around the bar. By this point everyone is three sheets...We were ready to leave when we got pulled in to wait for a 10 pm show at the same Close-Up Gallery. We did want to see at least one more show. So we got pushed in this small waiting area (super cold, AC blasting!!!) and sat down. Well, a drunk older lady sat in my father in law's lap! He told her ""You're siting in my lap"" and she responded ""Yes, I know"". I guess she liked him or wanted his seat? 'Cause she got it!After a 15 min. wait we got to see another show, a bit too interactive for me, at too complicated, too much math involved for me at that late hour! After that, we did leave.Conclusions? I wish I'd have seen one more show in another theater. I'd have stayed longer if I wasn't with my in laws, but that's not the issue. I thought that they let too many people in, some who just came to party only. But we're strict about that dress code when we have lots of tipsy folks around who lose their manners, right?Would I go to the Magic Castle again? Not sure, I wasn't taken with it. At the best case scenario I'd go during the week time, save some money and hopefully see more shows.Food was good (better be for that price), but I wasn't taken with the magic numbers, I wanted more...magic? Yes! More complicated acts, more interesting, more out of this world.",3 star rating
24,11/15/2019,"Such a quirky, wonder of a place. We went on a Thursday when all of the rooms are open and had a blast exploring the many floors and nooks and crannies where magicians were plying their trade. You really need to come early and give yourself time to wander, because you'll want to see the big stage show and catch the smaller ones, too. Plus there are many people doing close up work at tables around the venue. We were there 3.5 hours and really just scratched the surface. Next time I would skip dinner so I could get more of the shows in!Also, you can get a 25 minute tour from a member standing in the vestibule. We would definitely do that next time.You need to know a member, so there's the rub. But if you can find one, it's a must see LA place/activity.",5 star rating
